Date,Open,High,Low,Close
3 10 2018,6525.79,6549,6430,6510
2 10 2018,6610,6640,6494,6525.79
1 10 2018,6626.57,6667.09,6510,6611.61
30 09 2018,6597.66,6662,6533,6626.57
29 09 2018,6634.58,6636,6464.57,6596.38
28 09 2018,6689.12,6814.8,6540.88,6634.58
27 09 2018,6467.84,6750,6434,6689.13
26 09 2018,6445.11,6557.99,6379.7,6465.12
25 09 2018,6581.42,6584.01,6325.02,6447.54
24 09 2018,6706.81,6730,6557,6581.39
23 09 2018,6723.05,6788.23,6661.75,6708
22 09 2018,6759.01,6839.03,6627,6723.05
21 09 2018,6492,6784.86,6491,6759.02
20 09 2018,6392,6540,6325,6492
19 09 2018,6336.39,6517.7,6123,6391.89
18 09 2018,6248.69,6390,6224.98,6336.45
17 09 2018,6500.08,6533.84,6201,6248.69
16 09 2018,6514.96,6524.62,6370,6505
15 09 2018,6476.63,6565.45,6466.13,6514.96
14 09 2018,6487.39,6584.99,6385.62,6476.63
13 09 2018,6338.62,6535,6337.4,6487.38
12 09 2018,6293,6360,6192.37,6338.62
11 09 2018,6311.99,6404,6169.68,6294.91
10 09 2018,6252.26,6373.98,6221,6312
9 09 2018,6185.06,6441,6141.53,6250.81
8 09 2018,6395.54,6478,6111,6185.05
7 09 2018,6516.84,6544,6320,6395.54
6 09 2018,6697.27,6725,6265,6516.01
5 09 2018,7359.05,7397.3,6682,6700
4 09 2018,7263,7410,7227.17,7359.06
3 09 2018,7302,7338.28,7191.63,7263.02
2 09 2018,7201.57,7345.45,7127,7302.01
1 09 2018,7011.21,7275,7008.74,7200.01
31 08 2018,6984.84,7089,6888,7011.21
30 08 2018,7033.21,7063.63,6784.81,6984.84
29 08 2018,7077,7133.81,6912.34,7031.22
28 08 2018,6907.26,7135,6860,7076.11
27 08 2018,6700,6940.51,6646.5,6908.64
26 08 2018,6733.64,6775.27,6568,6700
25 08 2018,6686.98,6789,6650.61,6733.64
24 08 2018,6525,6725,6440.5,6681.64
23 08 2018,6362.57,6576.99,6342.28,6525.01
22 08 2018,6479.98,6882.54,6251.2,6360.89
21 08 2018,6251,6500,6235.08,6480
20 08 2018,6477.53,6530,6220,6254.84
19 08 2018,6387.96,6541,6300,6477.53
18 08 2018,6579.04,6620,6288,6387.96
17 08 2018,6316,6585,6285.4,6584.49
16 08 2018,6265.27,6480,6205.6,6311.75
15 08 2018,6188.08,6609,6172.11,6267.16
14 08 2018,6248.25,6250.33,5880,6188.08
13 08 2018,6308.56,6545,6145.04,6246.35
12 08 2018,6222.55,6472.3,6130,6308.33
11 08 2018,6148.13,6488,5971,6232.35
10 08 2018,6529.79,6575.88,6026.39,6144.01
9 08 2018,6283.27,6622.81,6178.6,6529.79
8 08 2018,6720.63,6721.54,6123,6285
7 08 2018,6935,7150.46,6670,6720.06
