date,open,high,low,close
 23 06 2020,243.11,244.87,240.75,243.14
 22 06 2020,228.03,246.89,227.51,243.13
 21 06 2020,228.88,231.49,227.11,228.04
 20 06 2020,229,230.85,225.62,228.89
 19 06 2020,231.26,231.95,226.74,229
 18 06 2020,233.82,234.65,227.93,231.27
 17 06 2020,235.31,237.3,227.65,233.82
 16 06 2020,230.86,236,228.7,235.3
 15 06 2020,231.74,233.55,218.27,230.86
 14 06 2020,238.13,238.59,229.83,231.77
 13 06 2020,237.55,238.73,234.66,238.11
 12 06 2020,230.46,239.38,228.19,237.55
 11 06 2020,247.78,250.09,226.2,230.51
 10 06 2020,243.79,250.28,242,247.78
 09 06 2020,246.37,249.82,238,243.8
 08 06 2020,244.57,247.7,240.59,246.4
 07 06 2020,241.94,245.37,234.6,244.56
 06 06 2020,240.04,244.7,237.83,241.94
 05 06 2020,243.22,247.87,239.14,240.03
 04 06 2020,244.54,246.6,236,243.21
 03 06 2020,237.71,245,232.71,244.52
 02 06 2020,248.23,253.8,225,237.71
 01 06 2020,231.56,250.68,230.66,248.23
 31 05 2020,243.71,245.39,229.58,231.57
 30 05 2020,220.63,247,218.8,243.66
 29 05 2020,220.24,224.79,217.57,220.67
 28 05 2020,208.29,220.5,204.67,220.21
 27 05 2020,200.92,208.44,200.76,208.29
 26 05 2020,204.22,205,196.9,200.89
 25 05 2020,199.9,205.67,198.01,204.15
 24 05 2020,206.6,210.55,199.5,199.9
 23 05 2020,207.36,211.2,204.55,206.6
 22 05 2020,198.72,209.19,196.24,207.36
 21 05 2020,209.99,211.64,191.71,198.74
 20 05 2020,214.6,215.75,204.27,209.98
 19 05 2020,214.92,215.95,209.45,214.58
 18 05 2020,207.02,217.07,207,214.91
 17 05 2020,200.44,209.85,199.68,207
 16 05 2020,194.87,203.5,193.21,200.45
 15 05 2020,203.29,204.08,191.66,194.86
 14 05 2020,199.61,206.02,195.67,203.29
 13 05 2020,189.77,201,188.35,199.58
 12 05 2020,185.8,192.24,185.48,189.76
 11 05 2020,187.62,193.5,176,185.73
 10 05 2020,210.09,210.18,179.59,187.54
 09 05 2020,211.32,214.6,208.4,210.07
 08 05 2020,212.01,216.61,206.9,211.31
 07 05 2020,198.92,215.1,196.43,212
 06 05 2020,205.3,210.77,197.71,198.97
 05 05 2020,206.47,211.68,201,205.29
 04 05 2020,209.86,210.65,194.88,206.48
 03 05 2020,213.89,219.3,203.92,209.86
 02 05 2020,212.01,215.37,210.36,213.9
 01 05 2020,206.07,217.14,205.91,212.02
 30 04 2020,215.4,227.3,202,206.08
 29 04 2020,196.24,218.77,196.22,215.36
 28 04 2020,196.33,198.5,192.36,196.24
 27 04 2020,197.39,199.05,189.29,196.34
 26 04 2020,194.21,200,192.3,197.38
 25 04 2020,187.6,198.36,185.76,194.21
 24 04 2020,185.57,189.8,184.72,187.59
 23 04 2020,182.7,193.63,178.16,185.51
 22 04 2020,170.73,184,169.78,182.7
 21 04 2020,170.21,174.7,168,170.74
 20 04 2020,180.02,186.46,166.7,170.2
 19 04 2020,187.4,188.35,175.75,180.03
 18 04 2020,170.61,189.54,170.48,187.4
 17 04 2020,172.31,174.96,168.31,170.69
 16 04 2020,152.74,174.79,148.33,172.29
 15 04 2020,158.46,161.29,152,152.73
 14 04 2020,156.28,161.85,155.23,158.45
 13 04 2020,158.56,158.97,150,156.29
 12 04 2020,158.33,164.78,155,158.59
 11 04 2020,157.81,161.37,153.91,158.33
 10 04 2020,169.56,170.1,152.11,157.81
 09 04 2020,173.15,173.38,165.19,169.52
 08 04 2020,164.62,174.48,163.59,173.11
 07 04 2020,171.32,176.22,162.22,164.63
 06 04 2020,142.69,172,142.6,171.32
